"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","X","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1087.jpg","2026-07-02","21:11:34",2026-07-02 21:11:34,1,0,0,0,0,0,0,"",TRUE,-2.05089505945732,-17.0202726126274,0,181.604657337292,181.604657337292,0.908564276607298,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1088.jpg","2026-07-02","21:11:36",2026-07-02 21:11:36,1,0,0,0,0,0,0,"",TRUE,-2.05560087112009,-17.0145666524449,0,180.901008100669,180.901008100669,0.908562943751827,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1089.jpg","2026-07-02","21:11:48",2026-07-02 21:11:48,1,0,0,0,0,0,0,"",TRUE,-2.08382821929721,-16.9803319426848,0,176.727724567928,176.727724567928,0.908554946362364,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1090.jpg","2026-07-02","21:11:50",2026-07-02 21:11:50,1,0,0,0,0,0,0,"",TRUE,-2.08853145987022,-16.9746264094956,0,176.04023826131,176.04023826131,0.908553613439325,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1091.jpg","2026-07-02","21:11:52",2026-07-02 21:11:52,0,0,0,0,0,0,0,"",TRUE,-2.09323433313171,-16.9689209375857,0,175.355039318281,175.355039318281,0.908552280506612,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1092.jpg","2026-07-02","21:16:44",2026-07-02 21:16:44,1,0,0,0,0,0,0,"",TRUE,-2.77587565278929,-16.1365997889348,0,97.041840084035,97.041840084035,0.908357567529448,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1093.jpg","2026-07-02","21:16:44",2026-07-02 21:16:44,1,0,0,0,0,0,0,"",TRUE,-2.77587565278929,-16.1365997889348,0,97.041840084035,97.041840084035,0.908357567529448,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1094.jpg","2026-07-02","21:16:46",2026-07-02 21:16:46,1,0,0,0,0,0,0,"",TRUE,-2.78052371936226,-16.1309038427772,0,96.6354236537802,96.6354236537802,0.908356233175997,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1095.jpg","2026-07-02","21:16:58",2026-07-02 21:16:58,0,0,0,0,0,0,0,"",TRUE,-2.80840436209158,-16.0967293755212,0,94.2287424310767,94.2287424310767,0.9083482267982,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1096.jpg","2026-07-02","21:17:00",2026-07-02 21:17:00,0,0,0,0,0,0,0,"",TRUE,-2.81304978034651,-16.0910339094889,0,93.8328947364725,93.8328947364725,0.908346892377049,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1097.jpg","2026-07-02","21:17:02",2026-07-02 21:17:02,0,0,0,0,0,0,0,"",TRUE,-2.81769481948605,-16.0853385123671,0,93.4385387315125,93.4385387315125,0.908345557946226,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1098.jpg","2026-07-02","21:17:24",2026-07-02 21:17:24,0,0,0,0,0,0,0,"",TRUE,-2.86876552120275,-16.0226933526643,0,89.1977530184866,89.1977530184866,0.908330878488687,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1099.jpg","2026-07-02","21:17:26",2026-07-02 21:17:26,0,0,0,0,0,0,0,"",TRUE,-2.87340601087303,-16.0169987848452,0,88.8209437494816,88.8209437494816,0.908329543941859,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1100.jpg","2026-07-02","21:17:28",2026-07-02 21:17:28,0,0,0,0,0,0,0,"",TRUE,-2.87804621474051,-16.0113041713743,0,88.4455597588129,88.4455597588129,0.908328209358599,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
